plot_label,plot_number,plot_id_iso,c,totalC,n,totaln,year,treeid,wt,perN,perC,drought,co2,C13,ci,delta_c
site 2,2,FS_12,-28.92,1.89532,1.83,0.03927,2017,T4,3.782,1.038339503,50.11422528,No drought,407.9508333333333,-8.625,286.91940247050144,-28.92
site 2,2,FS_12,-27.28,1.90134,1.76,0.0374,2016,T4,3.79,0.986807388,50.16728232,No drought,404.9063636363636,-8.589,256.0405682622687,-27.28
site 2,2,FS_12,-28.76,1.88329,1.31,0.03553,2015,T4,3.717,0.955878397,50.6669357,Drought,401.98545454545456,-8.533,281.51432695092524,-28.760000000000005
site 2,2,FS_12,-28.17,1.88329,1.47,0.03366,2014,T4,3.748,0.898078975,50.24786553,Drought,400.08833333333337,-8.503636363636364,270.2607957227139,-28.17
site 2,2,FS_12,-28.11,1.97385,1.55,0.03157,2013,T4,3.87,0.815762274,51.00387597,Drought,397.44363636363636,-8.474545454545455,267.9307281503693,-28.11
site 2,2,FS_12,-28.11,2.01634,1.55,0.03647,2012,T4,3.883,0.939222251,51.92737574,Drought,394.81,-8.41,267.2828761061947,-28.110000000000003
site 2,2,FS_12,-26.25,1.92546,2.66,0.03865,2017,T15,3.785,1.021136063,50.87080581,No drought,407.9508333333333,-8.625,238.7234411873156,-26.25
site 2,2,FS_12,-25.22,1.96173,2.4,0.03647,2016,T15,3.884,0.938980433,50.50798146,No drought,404.9063636363636,-8.589,219.1331740547063,-25.22
site 2,2,FS_12,-26.22,1.90134,2.44,0.03771,2015,T15,3.738,1.00882825,50.86516854,Drought,401.98545454545456,-8.533,236.3354307320997,-26.22
site 2,2,FS_12,-25.6,1.83527,2.59,0.03269,2014,T15,3.772,0.866648993,48.65509014,Drought,400.08833333333337,-8.503636363636364,224.76402507374632,-25.6
site 2,2,FS_12,-25.59,1.9134,2.62,0.03148,2013,T15,3.709,0.848746293,51.58802912,Drought,397.44363636363636,-8.474545454545455,223.61400409566298,-25.590000000000003
site 2,2,FS_12,-25.74,1.96173,2.49,0.03304,2012,T15,3.8,0.869473684,51.62447368,Drought,394.81,-8.41,225.88023451327427,-25.74
