plot_number,long,lat,plot_id_needle,elevation,aspect,slope
1,-119.9219521,39.34390447,FS_D5,3152,211.73362731933594,33.26129913330078
2,-119.9963335,39.2802948,FS_12,2795,118.09477996826172,18.950170516967773
3,-119.907458,38.84661737,FS_D2,3115,157.25367736816406,23.24672508239746
4,-119.8929894,38.82413455,FS_15,2733,138.884521484375,15.017868041992188
5,-119.9567343,38.80515852,FS_D1,2777,165.03253173828125,11.356776237487793
6,-119.6350041,38.3145308,FS_D4,3085,177.85325622558594,15.38038158416748
7,-119.4527194,38.23630404,FS_D6,3153,132.06460571289062,33.090065002441406
8,-119.557688,38.14952969,YOSE_44,2966,175.4959716796875,24.617647171020508
9,-119.6342268,38.14631553,YOSE_16,3029,217.70077514648438,14.604557991027832
10,-119.3479197,38.00751399,YOSE_25,2945,164.2498016357422,8.598227500915527
11,-119.4262872,37.82933616,YOSE_07,3115,207.17031860351562,9.543386459350586
12,-119.3165574,37.76328779,YOSE_03,3293,195.2964324951172,17.229997634887695
13,-119.0395739,37.74937222,JM,2893,165.02215576171875,23.518529891967773
14,-119.4268636,37.6911652,YOSE_36,3253,207.5518035888672,26.426698684692383
15,-118.4467784,37.27547407,RC,2088,205.46112060546875,35.785545349121094
16,-118.8075515,37.22706753,SEKI_33,3442,173.96986389160156,23.506412506103516
17,-118.7651208,37.14919113,SEKI_18,3416,221.7273712158203,24.20709800720215
18,-118.5750425,36.9683929,SEKI_73,3332,205.43638610839844,24.11492919921875
19,-118.5960358,36.93023345,SEKI_24,3021,174.40835571289062,25.037315368652344
20,-118.3806065,36.89654039,SEKI_04,3390,208.4861602783203,13.699236869812012
21,-118.702667,36.87247297,SEKI_48,3087,178.253662109375,18.347192764282227
22,-118.4684297,36.79890057,SEKI_74,3481,197.97833251953125,28.357553482055664
23,-118.4306953,36.79056025,SEKI_43,3500,216.09613037109375,36.701534271240234
24,-118.5215055,36.71134119,SEKI_67C,3472,218.95591735839844,29.31096076965332
25,-118.5195671,36.69394285,SEKI_67,3412,209.17201232910156,25.924957275390625
26,-118.4265314,36.67295728,SEKI_79,3485,159.2202911376953,16.611581802368164
27,-118.2160224,36.46240244,K,3393,88.68366241455078,9.980081558227539
