plot_label,plot_label_2,plot_number,lat,long,plot_id_climate,plot_id_genetics,plot_id_needle,plot_id_tree.ring
site 1,site01,1,39.34390447,-119.9219521,FS_D5_C,FS_05C,FS_D5,FS_D5_C
site 2,site02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,FS_12_1
site 3,site03,3,38.84661737,-119.907458,FS_D2_B,FS_02B,FS_D2,FS_D2_B
site 4,site04,4,38.82413455,-119.8929894,FS_15,FS_15X,FS_15,FS_15
site 5,site05,5,38.80515852,-119.9567343,FS_D1_B,FS_01B,FS_D1,FS_D1_B
site 6,site06,6,38.3145308,-119.6350041,FS_D4_B,FS_04B,FS_D4,FS_D4_B
site 7,site07,7,38.23630404,-119.4527194,FS_D6_A,FS_06A,FS_D6,FS_D6_A
site 8,site08,8,38.14952969,-119.557688,YOSE_44_A,YO_44A,YOSE_44,YOSE_44_A
site 9,site09,9,38.14631553,-119.6342268,YOSE_16_D,YO_16D,YOSE_16,YOSE_16_D
site 10,site10,10,38.00751399,-119.3479197,YOSE_25_A,YO_25A,YOSE_25,YOSE_25_A
site 11,site11,11,37.82933616,-119.4262872,YOSE_07_B,YO_07B,YOSE_07,YOSE_07_B
site 12,site12,12,37.76328779,-119.3165574,YOSE_03_A,YO_03A,YOSE_03,YOSE_03_A
site 13,site13,13,37.74937222,-119.0395739,JM,NA,JM,JM
site 14,site14,14,37.6911652,-119.4268636,YOSE_36_A,YO_36A,YOSE_36,YOSE_36_A
site 15,site15,15,37.27547407,-118.4467784,RC,NA,RC,RC
site 16,site16,16,37.22706753,-118.8075515,SEKI_33_A,SE_33A,SEKI_33,SEKI_33_A
site 17,site17,17,37.14919113,-118.7651208,SEKI_18_A,SE_18A,SEKI_18,SEKI_18_A
site 18,site18,18,36.9683929,-118.5750425,SEKI_73_B,NA,SEKI_73,SEKI_73_B
site 19,site19,19,36.93023345,-118.5960358,SEKI_24_A,SE_24A,SEKI_24,SEKI_24_A
site 20,site20,20,36.89654039,-118.3806065,SEKI_04_B,SE_04B,SEKI_04,SEKI_04_B
site 21,site21,21,36.87247297,-118.702667,SEKI_48_A,SE_48A,SEKI_48,SEKI_48_A
site 22,site22,22,36.79890057,-118.4684297,SEKI_74_A,SE_74A,SEKI_74,SEKI_74_A
site 23,site23,23,36.79056025,-118.4306953,SEKI_43,NA,SEKI_43,SEKI_43
site 24,site24,24,36.71134119,-118.5215055,SEKI_67_C,SE_67C,SEKI_67C,SEKI_67_C
site 25,site25,25,36.69394285,-118.5195671,SEKI_67_A,SE_67A,SEKI_67,SEKI_67_A
site 26,site26,26,36.67295728,-118.4265314,SEKI_79_B,SE_79B,SEKI_79,SEKI_79_B
site 27,site27,27,36.46240244,-118.2160224,K,NA,K,KE
site 28,site28,28,NA,NA,CR_10W,CR_02W,NA,NA
site 28,site28,28,NA,NA,CR_10W,CR_10W,NA,NA
site 29,site29,29,NA,NA,CR_11W,CR_11W,NA,NA
site 30,site30,30,NA,NA,LA_14W,LA_03W,NA,NA
site 30,site30,30,NA,NA,LA_14W,LA_14W,NA,NA
site 31,site31,31,NA,NA,NE_00R,NE_00J,NA,NA
site 31,site31,31,NA,NA,NE_00R,NE_00R,NA,NA
