plot,type,year,month,value
YOSE_44,ppt,1900,1,179.253006
YOSE_44,ppt,1900,2,91.08499908
YOSE_44,ppt,1900,3,200.9089966
YOSE_44,ppt,1900,4,102.9039993
YOSE_44,ppt,1900,5,46.31800079
YOSE_44,ppt,1900,6,27.36000061
YOSE_44,ppt,1900,7,7.916999817
YOSE_44,ppt,1900,8,8.194000244
YOSE_44,ppt,1900,9,39.51100159
YOSE_44,ppt,1900,10,249.6779938
YOSE_44,ppt,1900,11,302.0830078
YOSE_44,ppt,1900,12,153.2149963
YOSE_44,ppt,1901,1,423.2269897
YOSE_44,ppt,1901,2,390.7789917
YOSE_44,ppt,1901,3,105.7959976
YOSE_44,ppt,1901,4,142.5039978
YOSE_44,ppt,1901,5,60.2179985
YOSE_44,ppt,1901,6,4.577000141
YOSE_44,ppt,1901,7,0.045000002
YOSE_44,ppt,1901,8,29.30400085
YOSE_44,ppt,1901,9,81.60800171
YOSE_44,ppt,1901,10,127.8430023
YOSE_44,ppt,1901,11,186.8600006
YOSE_44,ppt,1901,12,119.7170029
YOSE_44,ppt,1902,1,59.67900085
YOSE_44,ppt,1902,2,516.8200073
YOSE_44,ppt,1902,3,198.4290009
YOSE_44,ppt,1902,4,122.2129974
YOSE_44,ppt,1902,5,50.50899887
YOSE_44,ppt,1902,6,0.275999993
YOSE_44,ppt,1902,7,1.866999984
YOSE_44,ppt,1902,8,10.33699989
YOSE_44,ppt,1902,9,7.043000221
YOSE_44,ppt,1902,10,178.1289978
YOSE_44,ppt,1902,11,235.2920074
YOSE_44,ppt,1902,12,231.595993
YOSE_44,ppt,1903,1,438.0490112
YOSE_44,ppt,1903,2,93.12200165
YOSE_44,ppt,1903,3,375.8800049
YOSE_44,ppt,1903,4,53.85300064
YOSE_44,ppt,1903,5,23.74099922
YOSE_44,ppt,1903,6,14.26299953
YOSE_44,ppt,1903,7,0
YOSE_44,ppt,1903,8,0
YOSE_44,ppt,1903,9,9.355999947
YOSE_44,ppt,1903,10,61.39300156
YOSE_44,ppt,1903,11,451.401001
YOSE_44,ppt,1903,12,75.8730011
YOSE_44,ppt,1904,1,137.0980072
YOSE_44,ppt,1904,2,765.6599731
YOSE_44,ppt,1904,3,567.2529907
YOSE_44,ppt,1904,4,135.3650055
YOSE_44,ppt,1904,5,25.43199921
YOSE_44,ppt,1904,6,0
YOSE_44,ppt,1904,7,8.130000114
YOSE_44,ppt,1904,8,21.875
YOSE_44,ppt,1904,9,135.901001
YOSE_44,ppt,1904,10,266.927002
YOSE_44,ppt,1904,11,67.21199799
YOSE_44,ppt,1904,12,222.7189941
YOSE_44,ppt,1905,1,150.5570068
YOSE_44,ppt,1905,2,198.3849945
YOSE_44,ppt,1905,3,311.7170105
YOSE_44,ppt,1905,4,77.13500214
YOSE_44,ppt,1905,5,130.7649994
YOSE_44,ppt,1905,6,3.282000065
YOSE_44,ppt,1905,7,0
YOSE_44,ppt,1905,8,17.06800079
YOSE_44,ppt,1905,9,27.25499916
YOSE_44,ppt,1905,10,0
YOSE_44,ppt,1905,11,97.96199799
YOSE_44,ppt,1905,12,82.59200287
YOSE_44,ppt,1906,1,649.5739746
YOSE_44,ppt,1906,2,268.4349976
YOSE_44,ppt,1906,3,598.3880005
YOSE_44,ppt,1906,4,106.4759979
YOSE_44,ppt,1906,5,238.6750031
YOSE_44,ppt,1906,6,60.87900162
YOSE_44,ppt,1906,7,26.12800026
YOSE_44,ppt,1906,8,8.548000336
YOSE_44,ppt,1906,9,16.21999931
YOSE_44,ppt,1906,10,3.808000088
YOSE_44,ppt,1906,11,96.24099731
YOSE_44,ppt,1906,12,422.7829895
YOSE_44,ppt,1907,1,371.0369873
YOSE_44,ppt,1907,2,177.6990051
YOSE_44,ppt,1907,3,713.2319946
YOSE_44,ppt,1907,4,71.31900024
YOSE_44,ppt,1907,5,56.20600128
YOSE_44,ppt,1907,6,121.0940018
YOSE_44,ppt,1907,7,17.77899933
YOSE_44,ppt,1907,8,4.72300005
YOSE_44,ppt,1907,9,4.472000122
YOSE_44,ppt,1907,10,52.74399948
YOSE_44,ppt,1907,11,20.63299942
YOSE_44,ppt,1907,12,318.5329895
YOSE_44,ppt,1908,1,150.7460022
YOSE_44,ppt,1908,2,119.4089966
YOSE_44,ppt,1908,3,82.20999908
YOSE_44,ppt,1908,4,30.98699951
YOSE_44,ppt,1908,5,128.098999
YOSE_44,ppt,1908,6,18.11000061
YOSE_44,ppt,1908,7,6.105999947
YOSE_44,ppt,1908,8,0
YOSE_44,ppt,1908,9,41.26300049
YOSE_44,ppt,1908,10,104.3850021
YOSE_44,ppt,1908,11,89.52100372
YOSE_44,ppt,1908,12,75.11499786
YOSE_44,ppt,1909,1,867.1420288
YOSE_44,ppt,1909,2,356.8129883
YOSE_44,ppt,1909,3,147.9579926
YOSE_44,ppt,1909,4,11.24300003
YOSE_44,ppt,1909,5,25.21299934
YOSE_44,ppt,1909,6,11.5880003
YOSE_44,ppt,1909,7,0
YOSE_44,ppt,1909,8,0
YOSE_44,ppt,1909,9,15.93099976
YOSE_44,ppt,1909,10,126.6289978
YOSE_44,ppt,1909,11,262.9760132
YOSE_44,ppt,1909,12,378.7340088
YOSE_44,ppt,1910,1,176.9909973
YOSE_44,ppt,1910,2,100.3799973
YOSE_44,ppt,1910,3,130.378006
YOSE_44,ppt,1910,4,45.2840004
YOSE_44,ppt,1910,5,15.32199955
YOSE_44,ppt,1910,6,1.105999947
YOSE_44,ppt,1910,7,73.98799896
YOSE_44,ppt,1910,8,0
YOSE_44,ppt,1910,9,48.30099869
YOSE_44,ppt,1910,10,62.11100006
YOSE_44,ppt,1910,11,83.7559967
YOSE_44,ppt,1910,12,93.77300262
YOSE_44,ppt,1911,1,821.2449951
YOSE_44,ppt,1911,2,142.8540039
YOSE_44,ppt,1911,3,353.7250061
YOSE_44,ppt,1911,4,133.4579926
YOSE_44,ppt,1911,5,45.60100174
YOSE_44,ppt,1911,6,13.83600044
YOSE_44,ppt,1911,7,69.02100372
YOSE_44,ppt,1911,8,0
YOSE_44,ppt,1911,9,1.746000051
YOSE_44,ppt,1911,10,35.1780014
YOSE_44,ppt,1911,11,76.60800171
YOSE_44,ppt,1911,12,94.40000153
YOSE_44,ppt,1912,1,137.6060028
YOSE_44,ppt,1912,2,20.73999977
YOSE_44,ppt,1912,3,222.9490051
YOSE_44,ppt,1912,4,157.7610016
YOSE_44,ppt,1912,5,80.25900269
YOSE_44,ppt,1912,6,25.24500084
YOSE_44,ppt,1912,7,16.91799927
