,plot_id_tree.ring,plot_label,plot_label_2,plot_label_3,plot_number,lat,long,plot_id_climate,plot_id_genetics,plot_id_needle,Unit,Sample_Date,Tree_Num,Tag_Num,Dout,DSide,UTM_E,UTM_N,DBH_cm,Ht_m,Crwn_Dmg,Canopy_Pos,DNA_Sample,Core_Collected,Needle_Sample,Tree_Notes,QAQC,Tree_Num_2,COREID,DBH_mm,CORE_AB,COREID_2,COREID_ALT
1,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,26,NA,NA,NA,241939,4352522,12.3,5.5,5,Co-Dominant,TRUE,1,FALSE,,TRUE,26,FS12126,123,,site_02_26,FS12126
2,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,21,NA,NA,NA,241800,4352295,17,5.9,10,Intermediate,TRUE,1,FALSE,,TRUE,21,FS12121,170,,site_02_21,FS12121
3,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,22,NA,NA,NA,241812,4352302,12,4.8,2,Intermediate,TRUE,1,TRUE,In clump with two dead stems.,TRUE,22,FS12122,120,,site_02_22,FS12122
4,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,25,NA,NA,NA,241921,4352326,16,5.2,2,Co-Dominant,TRUE,1,FALSE,,TRUE,25,FS12125,160,,site_02_25,FS12125
5,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,10,NA,NA,NA,241389,4352024,25.4,9.6,3,Sub-Dominant,TRUE,1,FALSE,,TRUE,10,FS12110,254,,site_02_10,FS12110
6,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,11,NA,NA,NA,241399,4352027,12.3,5.3,2,Co-Dominant,TRUE,1,TRUE,,TRUE,11,FS12111,123,,site_02_11,FS12111
7,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,12,NA,NA,NA,241394,4352031,19.4,7,2,Co-Dominant,TRUE,1,FALSE,,TRUE,12,FS12112,194,,site_02_12,FS12112
8,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,13,NA,NA,NA,241406,4352046,16.8,4.5,2,Co-Dominant,TRUE,1,TRUE,,TRUE,13,FS12113,168,,site_02_13,FS12113
9,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,14,NA,NA,NA,241409,4352042,20.8,6.1,2,Co-Dominant,TRUE,1,FALSE,,TRUE,14,FS12114,208,,site_02_14,FS12114
10,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,15,NA,NA,NA,241434,4352066,12.3,3.6,2,Co-Dominant,TRUE,1,TRUE,,TRUE,15,FS12115,123,,site_02_15,FS12115
11,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,16,NA,NA,NA,241438,4352034,15.3,5.9,5,Co-Dominant,TRUE,1,TRUE,In clump with WPBR tree,TRUE,16,FS12116,153,,site_02_16,FS12116
12,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,17,NA,NA,NA,241596,4352231,18.8,8.5,5,Intermediate,TRUE,1,FALSE,,TRUE,17,FS12117,188,,site_02_17,FS12117
13,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,18,NA,NA,NA,241688,4352241,15.2,4.9,7,Dominant,TRUE,1,TRUE,,TRUE,18,FS12118,152,,site_02_18,FS12118
14,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,19,NA,NA,NA,241741,4352238,25.5,7,2,Intermediate,TRUE,1,TRUE,,TRUE,19,FS12119,255,,site_02_19,FS12119
15,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,6,NA,NA,NA,241194,4351980,24.5,6.4,2,Sub-Dominant,TRUE,1,FALSE,"Lots of whitebark near tree 6, but the cored tree is the only one not showing infection signs among a sea of dead and dying whitebark photo 104-1070 (Sam is next to cored whitebark in photo). original coordinates recorded in zone 10 as (758749, 4351978). Converted to zone ll on 6.20.2019.",TRUE,6,FS12106,245,,site_02_06,FS12106
16,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,23,NA,NA,NA,241825,4352306,15,4.9,2,Dominant,TRUE,1,TRUE,All taller trees in clump are dead.,TRUE,23,FS12123,150,,site_02_23,FS12123
17,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,24,NA,NA,NA,241854,4352310,37.2,10.1,10,Co-Dominant,TRUE,1,FALSE,"Picture 104-0174 old dead top, flagging, not suspected to be WPBR.",TRUE,24,FS12124,372,,site_02_24,FS12124
18,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,9,NA,NA,NA,241386,4352003,17.3,3.9,2,Dominant,TRUE,1,TRUE,cored through,TRUE,9,FS12109,173,,site_02_09,FS12109
19,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,29,NA,NA,NA,241922,4352579,20.5,6.2,2,Open,TRUE,1,TRUE,,TRUE,29,FS12129,205,,site_02_29,FS12129
20,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,30,NA,NA,NA,242008,4352595,14.8,5,5,Dominant,TRUE,1,TRUE,,TRUE,30,FS12130,148,,site_02_30,FS12130
21,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,27,NA,NA,NA,241902,4352563,22.4,6.7,7,Co-Dominant,TRUE,1,TRUE,In clump with WPBR.,TRUE,27,FS12127,224,,site_02_27,FS12127
22,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,28,NA,NA,NA,241896,4352577,12.8,5,5,Intermediate,TRUE,1,TRUE,,TRUE,28,FS12128,128,,site_02_28,FS12128
23,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,5,NA,NA,NA,241152,4351862,22.5,7.8,5,Sub-Dominant,TRUE,1,FALSE,"4 meters north of trail. original coordinates recorded in zone 10 as (758715, 4351858). Converted to zone ll on 6.20.2019.",TRUE,5,FS12105,225,,site_02_05,FS12105
24,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,1,NA,NA,NA,241072,4351864,11.3,3.5,10,Dominant,TRUE,1,TRUE,"original coordinates recorded in zone 10 as (758635, 4351854). Converted to zone ll on 6.20.2019.",TRUE,1,FS12101,113,,site_02_01,FS12101
25,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,3,NA,NA,NA,241170.5,4351864,14.3,5.1,2,Dominant,TRUE,1,FALSE,3.5m at 84 degrees from tree 2; trees 2 and 3 are just south of trail,TRUE,3,FS12103,143,,site_02_03,FS12103
26,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,4,NA,NA,NA,241179,4351871,15,6,2,Dominant,TRUE,1,TRUE,"just north of trail. original coordinates recorded in zone 10 as (758741, 4351868). Converted to zone ll on 6.20.2019.",TRUE,4,FS12104,150,,site_02_04,FS12104
27,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,7,NA,NA,NA,241218,4351960,17.7,5.2,5,Intermediate,TRUE,1,FALSE,"Healthy, but all other PIAL have WPBR nearby. original coordinates recorded in zone 10 as (758774, 4351960). Converted to zone ll on 6.20.2019.",TRUE,7,FS12107,177,,site_02_07,FS12107
28,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,2,NA,NA,NA,241167,4351864,14.5,5.2,2,Dominant,TRUE,1,FALSE,"very healthy tree. original coordinates recorded in zone 10 as (758729, 4351861). Converted to zone ll on 6.20.2019.",TRUE,2,FS12102,145,,site_02_02,FS12102
29,FS_12_1,site 2,site_02,Site 02,2,39.2802948,-119.9963335,FS_12_1,FS_12I,FS_12,Tahoe NF,10/17/2018,8,NA,NA,NA,241287,4351979,18.8,8.5,2,Sub-Dominant,TRUE,1,FALSE,GPS is now in zone 11 south,TRUE,8,FS12108,188,,site_02_08,FS12108
